2.392114486,ABQ,ABV,ACA,ACC,ADB,AER,AKL,ALA,ALC,ALP,AMA,AMM,ANC,ATH,ATL,AUH,AUS,AYT,BAH,BCN,BDL,BEY,BFI,BFS,BGR,BHM,BIL,BJV,BLR,BNA,BNE,BOG,BOM,BOS,BRI,BRS,BSB,BSR,BUD,BUF,BWI,BWN,BZE,CAI,CAN,CBR,CCU,CDG,CEB,CGH,CGK,CGO,CHC,CHS,CJJ,CJU,CKG,CLE,CLT,CMB,CMH,CMN,CNF,CNX,CPR,CPT,CRK,CRP,CSX,CTU,CUN,CUZ,CVG,CWL,DAD,DAM,DAY,DEL,DEN,DFW,DKR,DLC,DLH,DLM,DME,DMM,DOH,DOK,DPS,DSM,DUS,DVO,DXB,ERI,ERZ,ESB,EVN,EWR,EXT,EZE,FAI,FCO,FLL,FLN,FMO,FOC,FRA,FRU,FWA,GCM,GDL,GEG,GIG,GLA,GMP,GPT,GRB,GRU,GSO,GSP,GUM,GVA,GYD,GZT,HAJ,HAK,HAN,HAV,HER,HGH,HKG,HND,HNL,HRB,HRG,HRK,HSV,HYD,IAD,IAH,ICN,ICT,IKA,IND,ISB,IST,ITM,JAN,JAX,JED,JFK,JNB,KBP,KEF,KHH,KIN,KIX,KMG,KRK,KRT,KUF,KUL,KWI,KWL,LAS,LAX,LBA,LBB,LCA,LIM,LOS,LTK,LUX,MAA,MAD,MBA,MBS,MCI,MCO,MCT,MDL,MDW,MEL,MEM,MEX,MFM,MHD,MIA,MKE,MLA,MLE,MLI,MNL,MSP,MSQ,MSY,MTY,MUC,MVD,MXP,MYR,NAP,NAS,NBO,NCE,NGB,NGO,NKG,NNG,NRT,OAK,ODS,ONT,ORD,ORF,OTP,PBI,PDX,PEK,PER,PFO,PHF,PHL,PHX,PIT,PMO,PNH,POM,PRG,PSA,PUS,PVG,PVR,PWM,RDU,REP,RFD,RGN,RIC,RIX,RNO,ROC,RST,RSW,RUH,SAN,SAT,SAV,SAW,SCL,SDF,SDQ,SEA,SFB,SFO,SGN,SHA,SHE,SHJ,SIN,SIP,SJC,SJD,SJJ,SJU,SKG,SLC,SMF,SRQ,STL,SUB,SVO,SXF,SXM,SYD,SYR,SYX,SYZ,SZX,TBS,TBZ,THR,TIA,TIJ,TIP,TLS,TLV,TPA,TPE,TRN,TSE,TSN,TUL,TUN,TUS,TXL,TZX,UFA,UPG,VCE,VDA,VIE,VNO,VRA,VRN,WLG,WNZ,WUH,XIY,XMN,YEG,YHZ,YOW,YQB,YUL,YVR,YWG,YXU,YYC,YYJ,YYZ
SAW,3,2,3,2,1,3,3,1,2,3,3,2,3,2,2,2,3,1,2,2,3,1,3,2,3,3,3,1,2,3,2,2,2,2,2,2,3,2,2,3,2,2,3,2,2,3,2,2,3,3,2,3,3,3,3,3,3,3,2,2,3,1,3,3,3,2,3,3,3,3,2,4,3,2,3,2,3,2,2,2,2,3,3,1,2,2,2,1,3,3,1,3,1,3,1,1,2,2,2,2,3,1,2,3,2,3,1,2,3,3,3,3,2,2,3,3,3,2,3,3,3,2,1,1,1,3,2,2,2,3,2,2,3,3,2,1,3,2,2,2,2,3,1,3,2,2,3,3,3,1,2,2,1,2,3,3,2,2,2,2,2,2,1,3,2,2,2,3,2,3,2,2,2,2,2,2,3,3,2,2,3,3,2,3,2,3,2,2,3,2,2,3,2,3,2,3,3,1,3,2,3,2,3,2,2,3,2,2,3,2,3,2,3,2,3,1,3,3,2,2,3,3,2,3,3,2,3,3,2,2,3,2,3,3,3,3,3,3,3,2,3,3,3,2,2,3,3,3,0,3,3,2,2,3,2,2,3,2,1,2,2,3,3,2,2,2,3,3,3,3,3,2,1,3,2,3,3,2,3,1,2,3,2,3,2,2,1,3,2,2,2,3,3,2,3,1,1,2,3,1,3,1,2,2,2,3,3,3,3,3,3,2,2,3,2,2,3,3,2,3,2
SCL,2,2,2,2,3,3,1,3,2,3,2,2,3,2,1,2,2,3,2,2,2,2,3,2,3,2,3,3,2,2,2,1,2,2,2,2,2,3,2,2,2,3,2,2,2,2,3,1,3,2,2,3,2,2,3,3,3,2,2,2,2,2,2,3,3,3,3,2,3,3,1,2,2,2,3,3,2,2,2,1,2,3,3,3,2,3,2,3,2,2,2,3,2,3,3,3,2,2,2,1,3,2,2,2,3,3,2,3,2,2,2,3,1,2,3,2,3,1,2,2,3,2,2,3,2,3,2,2,2,3,2,2,2,3,3,3,2,3,2,2,2,2,3,2,2,2,3,2,2,2,1,2,2,2,3,2,2,3,2,3,3,2,2,3,2,2,2,2,2,1,2,4,2,3,1,3,3,2,2,2,4,2,2,2,1,3,3,1,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,3,3,3,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,3,2,2,2,2,3,3,3,2,2,2,2,3,2,2,2,2,2,3,0,2,2,2,2,2,2,3,3,3,2,3,2,2,3,2,3,2,2,2,2,3,2,2,2,1,2,3,3,3,2,3,4,3,2,3,2,2,2,2,2,3,3,2,2,2,2,3,3,3,2,2,2,3,2,2,2,3,2,3,3,2,2,2,2,2,2,2,2,2,2,1
SDF,2,3,2,2,3,3,3,3,3,3,2,2,2,2,1,2,2,3,3,2,2,3,3,2,2,2,2,3,3,2,2,2,2,2,3,3,2,3,3,2,1,3,2,2,3,3,3,2,3,3,3,3,3,2,3,3,3,1,1,3,2,2,2,3,2,3,3,2,3,3,2,3,2,3,3,3,2,2,1,1,2,3,2,3,2,3,2,3,3,2,2,3,2,2,3,3,3,1,3,2,3,2,2,3,3,3,2,3,2,2,2,2,2,2,3,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,2,2,2,3,3,3,2,3,1,1,2,2,3,2,3,2,3,2,2,2,1,2,2,2,3,2,2,3,3,3,3,3,2,3,1,2,3,2,3,2,2,4,3,3,2,3,2,2,1,3,4,1,3,1,2,3,3,1,2,3,3,2,3,1,3,2,2,2,2,2,2,3,2,3,2,3,3,3,3,2,2,3,2,1,2,3,2,2,2,3,3,2,1,1,2,3,3,3,2,3,3,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,3,2,0,2,2,2,2,3,3,3,3,2,3,2,2,3,2,3,2,2,2,1,3,2,3,2,2,2,3,3,3,3,3,4,3,3,3,3,2,1,2,3,3,3,2,3,2,2,3,3,3,2,3,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
SDQ,2,2,3,2,2,3,3,2,2,3,3,2,3,2,1,2,2,2,2,2,2,2,3,2,3,2,3,2,2,2,3,1,2,1,2,2,2,3,2,2,2,3,2,2,2,4,3,1,3,3,3,3,3,2,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,3,3,2,2,2,2,2,3,3,2,2,2,2,3,3,2,2,3,2,3,3,2,2,1,2,2,3,2,1,3,2,3,1,3,2,2,2,3,2,2,3,2,3,2,2,2,3,2,2,3,2,3,2,1,2,3,2,2,2,3,2,3,2,3,2,2,2,2,2,2,2,2,3,2,2,2,1,2,2,2,3,2,2,3,2,2,2,2,2,3,2,2,2,3,2,1,2,4,2,2,1,2,3,2,1,2,4,2,3,2,2,3,3,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,3,3,2,2,2,2,2,2,3,3,2,2,2,2,2,3,3,2,2,3,2,2,2,2,3,3,3,2,2,3,2,3,2,2,2,2,2,2,2,2,0,2,2,2,2,3,2,3,2,3,2,2,3,1,2,2,2,2,2,3,2,2,1,3,2,3,3,3,2,3,4,3,3,2,2,2,2,2,2,2,3,2,2,2,2,3,3,3,2,2,2,2,2,2,4,3,2,3,3,3,2,2,2,2,2,3,3,2,3,2
SEA,1,2,2,2,2,3,2,2,2,3,2,2,1,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,2,2,2,3,2,1,2,3,2,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,3,1,2,3,2,2,1,2,2,1,2,1,3,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,4,2,2,2,2,2,1,1,2,3,1,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,1,1,2,2,2,1,1,2,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,0,2,1,2,2,2,3,2,3,1,1,3,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,1,2,2,2,2,2,1,2,3,2,3,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,1,2,2,1,1,1
SFB,3,3,3,3,3,3,3,3,2,4,3,3,3,3,2,3,3,2,3,2,2,3,3,2,1,2,3,2,3,2,3,2,3,2,3,1,2,3,2,3,2,3,2,3,3,4,3,2,4,3,3,4,4,2,4,4,4,2,2,3,2,3,2,4,3,3,4,3,4,4,2,3,2,2,4,3,3,3,2,2,3,4,3,2,2,3,3,3,4,1,2,4,2,3,4,3,3,2,2,2,3,2,2,3,3,4,2,3,1,2,3,3,2,1,4,3,3,2,1,1,4,2,3,4,3,4,3,3,2,4,3,3,3,4,3,3,3,3,2,2,3,3,3,2,3,3,4,3,2,3,2,3,3,1,4,2,3,3,2,3,3,3,3,4,2,2,2,3,2,2,3,4,3,3,2,3,3,3,2,3,4,2,3,2,2,4,3,1,3,2,3,1,3,2,3,2,3,2,2,2,3,2,2,3,2,4,3,3,4,3,3,3,3,2,2,3,3,3,3,3,2,1,2,2,2,3,4,4,2,2,4,3,3,3,2,4,1,4,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,0,2,3,4,3,3,3,3,3,3,3,2,3,3,3,3,2,4,3,2,2,3,3,3,3,4,3,4,4,3,3,3,2,3,2,3,3,3,4,3,3,3,2,3,3,4,3,3,3,3,3,3,4,4,3,4,4,3,3,3,3,2,3,3,3,2,3,2
SFO,1,2,2,2,2,3,1,2,2,3,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,3,2,2,1,2,2,2,2,1,3,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,1,2,4,2,2,2,2,2,1,1,2,3,1,2,2,1,2,2,1,1,2,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,3,1,1,2,2,2,1,1,2,3,2,1,1,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,1,2,0,2,2,2,3,2,3,2,1,2,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,3,3,2,2,2,2,2,2,1,2,2,2,2,2,1,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,1,1
SGN,3,2,3,2,2,2,2,2,2,3,3,2,3,2,2,2,3,2,2,2,3,2,3,2,3,3,3,2,2,3,2,2,2,2,3,2,3,2,2,3,2,2,3,2,1,2,2,1,2,3,1,2,2,3,2,2,2,3,2,2,3,2,3,2,3,2,2,3,2,2,2,3,2,2,1,2,3,2,2,2,2,2,3,2,1,2,2,2,2,3,2,2,1,3,3,2,2,2,2,2,3,2,2,3,2,2,1,2,3,3,3,3,2,2,2,3,3,2,3,3,2,2,2,3,2,2,1,2,2,2,1,2,2,2,2,2,3,2,2,2,1,3,2,3,2,2,2,3,3,2,2,2,2,2,1,3,1,2,2,2,2,1,2,2,2,2,2,3,2,2,2,3,2,2,2,2,3,3,2,2,2,3,1,3,2,2,2,2,3,2,2,3,1,2,2,3,3,2,3,2,3,2,3,2,2,2,1,2,1,1,3,2,3,2,3,2,3,2,1,2,2,3,2,3,2,2,1,2,2,2,1,1,3,3,3,1,3,1,3,2,3,3,3,3,2,3,3,3,2,2,3,2,2,3,2,0,2,2,2,1,2,3,3,3,2,2,2,3,3,3,2,1,2,2,1,3,2,2,2,2,3,3,3,2,2,2,2,3,1,2,2,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,2,3,2
SHA,3,3,4,3,3,3,2,2,3,3,4,3,3,3,3,2,3,3,2,3,3,3,3,3,4,3,3,3,2,3,2,3,2,3,3,3,4,3,3,3,3,2,4,2,1,3,2,2,2,4,2,1,3,3,2,2,1,3,3,2,3,3,4,2,4,3,2,4,1,1,3,4,3,3,2,3,3,2,3,3,3,2,3,3,2,3,2,3,2,3,2,3,2,4,3,3,3,2,3,3,3,2,3,4,3,1,2,3,3,3,3,3,3,3,1,4,3,3,3,3,2,3,3,3,3,1,2,3,3,2,1,1,2,2,3,3,3,3,2,3,2,3,2,3,2,2,2,4,3,3,2,2,2,3,2,3,2,1,3,3,3,2,3,1,3,2,3,4,3,3,3,4,3,2,2,3,3,3,3,3,2,3,2,3,3,1,3,3,3,3,2,3,2,3,3,3,3,2,3,2,3,3,3,3,3,2,2,2,1,2,3,3,3,2,3,3,3,3,1,2,3,4,3,3,3,3,2,2,3,3,2,2,3,3,3,2,4,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,4,2,2,0,1,3,2,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2,3,1,3,1,3,3,4,3,3,3,3,2,3,2,3,2,1,3,3,3,2,3,3,3,3,3,2,3,3,3,3,1,1,1,1,3,3,3,3,3,2,3,3,3,3,2
SHE,3,2,3,2,2,3,2,2,2,3,3,2,3,2,2,2,3,2,2,2,3,2,3,3,3,3,3,2,2,3,2,2,2,2,3,3,3,3,2,3,2,2,3,2,1,3,3,2,2,3,2,1,3,3,2,1,1,3,2,2,3,2,3,2,3,3,2,3,2,1,2,4,3,3,2,3,3,2,2,2,3,1,3,2,2,2,2,3,2,3,2,3,2,3,3,2,3,2,3,2,3,2,2,3,2,2,1,2,3,3,3,3,2,3,2,3,3,2,3,3,2,2,2,3,2,2,2,2,2,1,1,2,2,1,2,3,3,3,2,2,1,3,2,3,2,2,2,3,3,2,2,2,2,2,2,3,1,2,2,2,2,2,2,2,2,2,3,3,2,3,2,4,2,2,2,2,3,3,2,2,3,3,2,3,2,2,3,2,3,2,2,3,2,2,2,3,3,2,3,2,3,2,3,2,2,1,1,1,2,1,3,3,3,2,3,2,3,2,1,2,3,3,2,2,3,2,2,2,2,3,1,1,2,3,3,2,3,2,3,2,3,3,3,3,2,2,3,3,2,3,3,2,2,3,2,2,1,0,3,2,3,3,2,3,2,2,2,3,3,3,2,2,3,3,2,3,1,3,1,3,3,4,3,2,2,2,2,3,1,2,2,2,3,2,3,2,3,3,3,2,3,2,2,2,2,3,1,1,1,1,2,2,2,3,2,1,2,3,2,2,2
SHJ,3,2,3,2,2,2,3,1,2,2,3,1,3,2,3,2,3,2,1,2,3,1,4,3,4,3,4,2,1,3,3,3,1,3,3,3,3,2,2,3,3,3,3,1,2,3,2,2,3,4,2,3,3,3,3,3,2,3,3,1,3,2,3,3,4,3,3,3,3,2,2,4,3,3,3,1,3,1,3,3,3,3,3,2,1,1,1,1,3,3,2,3,2,4,2,2,2,2,3,3,4,2,3,3,3,3,2,2,3,3,3,4,3,3,3,3,3,2,3,3,3,2,2,2,2,3,2,3,2,2,2,3,3,3,2,2,3,2,2,2,2,3,1,3,2,2,3,3,3,1,2,2,1,3,3,3,2,2,3,1,2,2,1,3,3,2,3,3,2,3,2,1,3,1,2,2,3,3,3,1,3,3,2,3,3,3,2,2,3,2,2,3,2,3,2,3,3,2,3,2,3,3,3,1,3,3,3,3,3,2,3,2,3,2,3,2,3,3,2,2,2,4,3,3,3,3,3,3,2,3,3,2,3,3,3,3,4,2,3,2,3,3,3,3,1,3,3,3,1,3,3,3,3,3,3,2,3,3,0,2,2,3,3,3,3,2,3,3,3,3,3,2,2,3,3,3,2,1,3,2,2,2,3,3,2,3,2,3,2,3,2,3,3,2,3,2,2,2,3,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2
SIN,2,2,3,2,2,2,1,2,2,3,3,2,3,1,2,1,2,2,2,1,2,2,3,2,3,3,3,2,1,2,1,2,1,2,2,2,3,2,2,2,2,1,3,2,1,2,1,1,1,3,1,2,1,2,2,2,1,2,2,1,2,2,3,1,3,2,1,3,1,1,2,3,2,2,1,2,2,1,2,2,2,2,3,2,1,2,1,2,1,2,2,1,1,3,2,2,2,1,2,2,3,1,2,3,2,1,1,2,3,2,2,3,2,2,2,3,3,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,2,2,2,2,3,1,2,2,1,3,2,2,2,1,2,3,2,1,2,1,2,2,1,3,1,1,2,2,2,1,2,2,2,1,2,3,2,2,2,3,2,1,2,2,3,2,2,2,2,2,1,2,2,1,2,2,2,2,1,3,1,2,2,2,3,1,3,1,2,2,2,2,2,1,1,1,1,1,2,2,3,2,2,2,2,2,1,1,2,3,2,2,2,2,1,1,2,2,2,1,2,2,2,1,3,1,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,3,2,1,2,2,2,0,2,2,2,2,2,2,2,2,3,2,1,2,2,2,1,2,2,2,1,2,2,3,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,3,3,2,3,2
SIP,3,3,3,2,2,2,3,2,2,3,3,2,3,2,3,2,3,2,2,2,3,2,4,3,3,3,4,2,3,3,3,3,2,3,3,3,3,2,2,3,3,3,3,2,2,4,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,3,3,3,3,3,2,4,3,3,3,3,3,2,3,3,2,3,3,2,1,2,2,2,3,3,2,3,2,3,2,2,1,2,3,3,4,2,3,3,3,3,2,2,3,3,3,4,3,3,3,3,3,2,3,3,3,2,2,2,2,3,2,2,2,3,2,3,3,3,2,2,3,3,2,2,2,3,2,3,2,1,3,3,3,2,2,2,1,3,3,3,2,3,2,2,2,2,2,3,3,2,3,3,2,3,2,3,3,3,2,3,3,3,3,3,4,3,3,3,3,3,2,2,3,2,2,3,3,3,2,3,3,2,3,2,3,2,3,2,2,3,3,3,3,2,3,2,3,2,3,2,3,3,2,3,2,3,2,3,3,3,3,3,2,3,3,2,3,3,3,3,4,3,3,2,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,2,3,3,2,2,0,3,3,2,3,2,3,3,3,3,3,1,2,3,3,3,2,2,3,2,2,3,2,3,2,2,1,3,3,2,2,3,3,2,3,2,2,2,3,2,2,2,2,2,3,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2
SJC,2,3,2,2,3,3,2,3,3,3,2,2,2,2,1,2,1,3,3,2,2,3,2,3,3,2,2,3,3,2,2,2,3,1,3,3,2,3,3,2,2,3,2,2,2,3,3,2,3,3,3,3,3,2,3,3,3,2,2,3,2,2,3,3,2,3,3,2,3,3,2,3,2,3,3,3,2,2,1,1,2,3,2,3,2,3,2,3,3,2,2,3,2,3,3,3,3,2,3,2,2,2,2,3,3,3,2,3,2,2,1,2,2,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,1,3,3,3,2,3,2,1,2,2,3,2,3,2,3,2,2,2,1,2,2,2,3,2,2,3,3,3,3,3,2,3,1,1,3,2,3,2,2,4,3,3,2,3,2,2,2,3,4,1,2,2,2,3,3,2,2,3,3,2,2,1,3,2,2,2,3,2,2,3,2,3,2,3,2,3,3,2,2,3,1,1,2,3,2,1,2,3,3,2,2,1,2,3,3,3,2,3,3,2,2,2,2,3,2,3,2,2,1,2,2,2,2,1,2,2,3,2,2,2,1,3,2,3,3,3,3,2,3,0,1,3,2,3,1,2,2,2,3,2,3,2,2,2,3,3,3,3,3,4,3,2,3,3,2,2,2,3,3,3,2,3,2,2,3,3,3,2,3,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
SJD,2,3,2,3,3,3,2,3,3,4,2,2,2,3,1,2,2,3,3,2,2,3,2,2,3,2,2,3,3,2,2,2,2,2,3,3,2,3,3,2,2,3,2,3,2,3,3,2,3,3,3,3,3,2,3,3,3,2,1,3,2,3,3,3,2,3,3,2,3,3,2,3,2,3,3,3,2,2,1,1,3,3,2,3,2,3,2,3,3,2,2,3,2,3,3,3,3,1,3,2,2,2,2,3,3,3,2,3,2,2,1,2,2,2,3,2,2,2,2,2,3,2,3,3,3,3,3,2,3,3,2,2,2,3,3,3,2,3,2,1,2,2,3,2,3,2,3,2,2,3,2,2,3,2,3,3,2,3,3,3,3,3,3,3,2,1,3,2,3,2,2,4,3,3,2,3,2,2,2,3,4,2,2,2,1,3,3,2,2,3,3,2,2,2,3,2,1,2,3,2,2,3,2,3,3,3,3,3,3,2,2,3,2,1,2,3,2,2,2,3,3,2,2,1,2,3,3,3,3,3,3,2,2,2,2,3,2,3,2,3,2,2,2,2,3,1,2,2,3,2,2,2,1,3,1,3,3,2,3,2,3,1,0,3,2,3,2,2,2,2,3,2,3,2,2,2,3,3,3,3,3,4,3,1,3,3,2,2,2,3,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,2,2,1,2,2
SJJ,3,3,4,2,2,2,3,2,2,3,4,2,3,2,2,2,3,2,2,2,3,2,4,3,3,3,4,2,3,3,3,3,2,2,2,3,3,2,2,3,3,3,3,2,2,4,3,2,3,4,3,3,3,3,3,3,3,3,2,3,3,2,3,3,4,3,3,4,3,3,3,4,3,3,3,3,3,2,3,3,2,3,3,2,2,2,2,2,3,3,2,3,2,3,2,2,2,2,3,3,4,2,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,2,2,3,3,3,2,3,2,3,3,3,2,2,3,3,2,3,2,3,2,3,2,1,3,3,3,2,2,2,2,2,3,3,2,3,2,2,3,2,2,3,3,2,3,4,2,3,2,4,2,3,2,3,3,3,3,2,4,3,3,3,3,3,2,3,3,2,3,3,3,3,2,3,3,1,3,2,3,2,3,2,2,3,3,3,3,2,3,2,3,2,3,2,3,3,2,3,3,3,2,3,3,2,3,3,2,2,3,2,3,3,3,3,4,3,3,2,3,3,3,3,2,3,3,3,2,3,3,3,3,3,2,3,3,3,3,2,2,3,3,0,3,2,3,3,3,3,3,2,2,3,3,3,3,2,3,2,2,3,2,3,2,2,2,3,2,2,2,3,3,2,3,2,2,2,3,2,3,1,2,3,2,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2
SJU,2,2,2,2,2,3,3,2,2,3,2,2,2,2,1,2,2,2,2,2,1,2,3,2,2,2,3,2,2,2,2,2,2,1,2,2,2,3,2,2,1,3,2,2,3,3,3,2,3,3,3,3,3,2,3,3,3,2,1,2,2,2,2,3,3,3,3,2,3,3,2,3,2,3,3,3,2,2,2,1,2,3,2,2,2,2,2,3,3,2,2,3,2,2,3,2,3,1,3,2,3,2,1,3,2,3,1,3,2,2,2,3,2,2,3,2,2,2,2,2,3,2,2,3,2,3,2,2,2,3,2,2,2,3,2,3,2,3,1,1,2,2,2,2,2,2,3,2,1,2,1,2,2,2,3,2,2,3,2,2,2,2,2,3,2,2,3,2,2,2,2,4,2,2,1,2,2,2,1,2,4,2,3,2,2,3,3,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,3,2,1,2,2,1,2,2,3,3,2,1,2,2,2,3,3,2,2,3,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,3,2,3,2,2,3,0,2,2,2,2,2,3,2,2,1,2,2,3,3,3,3,3,4,3,3,2,2,2,1,2,2,2,3,2,2,2,2,3,3,3,2,3,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1
SKG,3,2,3,2,2,2,3,2,2,3,3,2,3,1,2,2,3,2,2,2,3,2,3,2,3,3,3,2,2,3,3,2,2,2,2,2,3,2,1,3,2,3,3,2,2,4,3,2,3,3,3,3,3,3,3,3,3,3,2,2,3,2,3,3,3,3,3,3,3,3,2,4,3,2,3,3,3,2,2,2,2,3,3,2,1,2,2,2,3,3,1,3,2,3,2,2,2,2,2,2,3,2,2,3,2,3,1,2,3,3,3,3,2,2,3,3,3,2,3,3,3,2,2,2,2,3,2,2,1,3,2,2,3,3,2,2,3,3,2,2,2,3,2,3,2,1,3,3,3,2,2,2,1,2,3,3,2,3,2,2,2,2,2,3,2,2,2,3,1,3,2,3,2,2,2,2,3,3,2,2,4,3,3,3,2,3,2,2,3,2,2,3,3,3,2,3,3,1,3,1,3,2,3,2,2,3,2,2,3,2,3,2,3,2,3,1,3,3,2,3,1,3,2,3,3,2,3,3,2,2,3,2,3,3,3,3,3,3,3,2,3,3,3,2,2,3,3,3,2,3,3,2,2,3,2,2,3,2,2,2,2,3,3,2,2,0,3,3,3,3,3,2,1,3,3,3,2,2,3,2,2,3,2,3,2,2,2,3,2,2,2,3,3,2,3,2,2,2,3,2,3,1,2,2,2,4,3,3,3,3,3,2,2,3,2,2,3,3,2,3,2
SLC,1,2,2,2,3,3,2,3,3,3,2,2,1,2,1,2,1,3,2,2,2,2,2,2,2,2,1,3,2,1,2,2,2,1,3,2,2,3,2,2,1,3,2,2,2,3,3,1,3,3,3,3,3,2,3,3,3,2,1,2,2,2,3,3,1,3,3,2,3,3,2,3,1,2,3,3,2,2,1,1,2,3,2,3,2,3,2,3,3,2,2,3,2,2,3,3,2,1,2,2,2,2,2,3,3,3,2,3,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,3,2,3,2,2,2,3,2,2,1,3,3,3,2,3,1,1,2,2,3,1,2,2,3,2,2,2,1,2,2,2,3,2,2,3,2,3,3,2,2,3,1,1,2,2,2,2,2,4,2,3,2,3,2,1,1,2,4,1,2,1,2,3,3,2,2,2,3,2,2,1,2,1,2,2,3,2,2,2,2,2,2,3,2,3,3,2,1,3,1,1,2,2,2,1,2,3,3,2,1,1,2,3,3,3,2,2,3,2,2,2,2,3,2,3,2,2,1,2,2,2,2,1,1,2,3,2,2,2,1,3,1,2,3,2,3,2,3,1,2,3,2,3,0,1,2,1,3,2,3,2,2,2,3,3,3,2,3,4,3,3,3,2,2,2,2,2,3,3,1,2,1,2,3,3,3,2,2,2,3,3,2,3,3,2,3,3,2,2,2,2,2,1,2,2,1,2,2
